Name,Category,Difficulty,Score,Time Taken,Date,Percentage,User,Topic,Total,Accuracy,Timestamp
NIJJU,Data Structures,Easy,2,19.0,2026-04-18 04:28,66.66666666666666,,,,,
NIJJU,Data Structures,Easy,2,19.0,2026-04-18 04:29,66.66666666666666,,,,,
NIJJU,Data Structures,Easy,2,19.0,2026-04-18 04:29,66.66666666666666,,,,,
gghghgh,Python Basics,Easy,0,4.0,2026-04-18 04:36,0.0,,,,,
Tester,Science,Dynamic,0,0.0,2026-04-18 04:55,0.0,,,,,
Tester,Science,Dynamic,0,0.0,2026-04-18 04:57,0.0,,,,,
Tester,Science,Dynamic,0,0.0,2026-04-18 04:57,0.0,,,,,
nijJU,Math,Dynamic,1,0.0,2026-04-18 05:10,25.0,,,,,
UJHB,Science,Dynamic,0,0.0,2026-04-18 05:11,0.0,,,,,
TestUser,Science,Dynamic,0,0.0,2026-04-18 05:18,0.0,,,,,
Test User,Science,Dynamic,0,0.0,2026-04-18 05:24,0.0,,,,,
NIJJU,History,Dynamic,1,0.0,2026-04-18 10:38,33.33333333333333,,,,,
TestStudent,Math,Dynamic,1,0.0,2026-04-18 10:43,25.0,,,,,
TestUser,Math,Dynamic,0,0.0,2026-04-18 10:47,0.0,,,,,
FinalTest,Math,Dynamic,0,0.0,2026-04-18 10:50,0.0,,,,,
TestUser,Math,Dynamic,0,0.0,2026-04-18 11:05,0.0,,,,,
TestUser,Math,Dynamic,0,0.0,2026-04-18 11:12,0.0,,,,,
Nishanth,Math,Dynamic,0,0.0,2026-04-18 11:18,0.0,,,,,
nijju,Science,Dynamic,2,0.0,2026-04-18 11:25,50.0,,,,,
Tester,Math,Dynamic,0,0.0,2026-04-18 11:32,0.0,,,,,
MY NAME,Science,Dynamic,0,0.0,2026-04-18 11:38,0.0,,,,,
fggTest User,Math,Dynamic,3,0.0,2026-04-18 11:52,75.0,,,,,
Final Verification,Math,Dynamic,2,0.0,2026-04-18 11:55,50.0,,,,,
jj,Science,Dynamic,0,0.0,2026-04-18 12:24,0.0,,,,,
,,,0,,2026-04-18 12:48,,TEST-USER,Science,4.0,0.0%,
,,,0,,2026-04-18 12:48,,TEST-USER,Science,4.0,0.0%,
,,,0,,2026-04-18 12:52,,TEST-USER,Science,4.0,0.0%,
,,,0,,,,USER-999,Science,,0.0%,2026-04-18 13:35
,,,1,,,,DEV-USERDEV-USER-001,Science,,25.0%,2026-04-18 13:49
,,,0,,,,n,Science,,0.0%,2026-04-18 14:10
,,,1,,,,TestUser,Science,,25.0%,2026-04-18 14:22
,,,1,,,,TEST-USER,Science,,25.0%,2026-04-18 14:32:13
,,,1,,,,h,Science,,25.0%,2026-04-18 14:43:44
,,,0,,,,r,Science,,0.0%,2026-04-18 15:18:49
,,,0,,,,AuditBot,Science,,0.0%,2026-04-18 15:29:13
,,,2,,,,mii,Science,,50.0%,2026-04-18 15:56:11
